,,,,,close orice,gain and loss,Balance Before Variation,Margin call,Balance including,Balance after Withdrawals,1 = Marigin Call,1 = Incentive to Walk
,daily STD,,,,,,Margin and Withdrawals,, Any Variation Margin Due,Including Variation Margin Due,0 = No Margin Call,
initial Margin,2103.609783,6920.776715,6921,,,,,,,,,
maintenance Margin,1577.707337,5190.582536,5191,,,,,,,,157,
,,,,,,,,,,,,
Size of contract,1000,,,,64.01,,0,6921,6921,6921,0,
,,,,,63.28,-730,6191,0,6191,6191,1,
,,,,,62.17,-1110,5081,1840,6921,6921,0,
,2.326347874,,,,63.04,870,7791,0,7791,6921,0,
,,,,,63.92,880,7801,0,7801,6921,0,
,,,,,64.99,1070,7991,0,7991,6921,0,
,,,,,64.60,-390,6531,0,6531,6531,0,
,,,,,65.13,530,7061,0,7061,6921,0,
,,,,,66.30,1170,8091,0,8091,6921,0,
,,,,,65.28,-1020,5901,0,5901,5901,0,
,,,,,65.91,630,6531,0,6531,6531,0,
,,,,,66.36,450,6981,0,6981,6921,0,
,,,,,67.35,990,7911,0,7911,6921,0,
,,,,,67.38,30,6951,0,6951,6921,0,
,,,,,65.99,-1390,5531,0,5531,5531,1,
,,,,,64.72,-1270,4261,2660,6921,6921,0,
,,,,,63.68,-1040,5881,0,5881,5881,0,
,,,,,64.40,720,6601,0,6601,6601,0,
,,,,,63.72,-680,5921,0,5921,5921,0,
,,,,,65.34,1620,7541,0,7541,6921,0,
,,,,,66.66,1320,8241,0,8241,6921,0,
,,,,,65.00,-1660,5261,0,5261,5261,0,
,,,,,66.20,1200,6461,0,6461,6461,0,
,,,,,65.15,-1050,5411,0,5411,5411,1,
,,,,,63.82,-1330,4081,2840,6921,6921,0,
,,,,,64.73,910,7831,0,7831,6921,0,
,,,,,64.09,-640,6281,0,6281,6281,0,
,,,,,65.11,1020,7301,0,7301,6921,0,
,,,,,64.80,-310,6611,0,6611,6611,0,
,,,,,64.82,20,6631,0,6631,6631,0,
,,,,,65.92,1100,7731,0,7731,6921,0,
,,,,,66.20,280,7201,0,7201,6921,0,
,,,,,66.88,680,7601,0,7601,6921,0,
,,,,,66.88,0,6921,0,6921,6921,0,
,,,,,66.69,-190,6731,0,6731,6731,0,
,,,,,66.70,10,6741,0,6741,6741,0,
,,,,,67.02,320,7061,0,7061,6921,0,
,,,,,67.04,20,6941,0,6941,6921,0,
,,,,,66.95,-90,6831,0,6831,6831,0,
,,,,,68.13,1180,8011,0,8011,6921,0,
,,,,,68.31,180,7101,0,7101,6921,0,
,,,,,67.99,-320,6601,0,6601,6601,0,
,,,,,68.42,430,7031,0,7031,6921,0,
,,,,,68.42,0,6921,0,6921,6921,0,
,,,,,69.09,670,7591,0,7591,6921,0,
,,,,,69.01,-80,6841,0,6841,6841,0,
,,,,,69.64,630,7471,0,7471,6921,0,
,,,,,69.58,-60,6861,0,6861,6861,0,
,,,,,71.34,1760,8621,0,8621,6921,0,
,,,,,70.72,-620,6301,0,6301,6301,0,
